Date,City,State,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,PS,ALLSKY_SFC_SW_DWN,PRECTOTCORR,Weather
01-01-2021,Bengaluru,Karnataka,18.87,25.42,14.85,81.29,2.95,91.92,17.97,0.16,Humid
02-01-2021,Bengaluru,Karnataka,19.86,26.4,14.14,84.14,2.71,91.89,14.42,0.29,Humid
03-01-2021,Bengaluru,Karnataka,20.95,27.02,16.48,82.54,2.92,91.78,11.15,0.15,Humid
04-01-2021,Bengaluru,Karnataka,21.01,27.06,17.1,80.6,3.27,91.78,7.46,0.06,Humid
05-01-2021,Bengaluru,Karnataka,20.98,26.13,16.89,86.53,2.57,91.82,14.06,0.48,Humid
06-01-2021,Bengaluru,Karnataka,21.7,26.76,17.87,86.4,2.32,91.76,9.73,13.31,Heavy Rain
07-01-2021,Bengaluru,Karnataka,21.16,25.55,18.56,87.96,2.27,91.65,10.31,4.22,Rainy
08-01-2021,Bengaluru,Karnataka,22.02,27.48,18.06,85.13,2.38,91.58,11.44,0.16,Humid
09-01-2021,Bengaluru,Karnataka,22.21,27.51,18.68,83.32,2.7,91.63,8.26,0.05,Humid
10-01-2021,Bengaluru,Karnataka,21.39,26.81,17.63,82.98,2.64,91.72,14.02,0,Humid
11-01-2021,Bengaluru,Karnataka,20.86,26.05,17.68,82.66,2.53,91.84,10.17,0.01,Humid
12-01-2021,Bengaluru,Karnataka,20.05,25.22,15.83,82.01,3.19,91.84,9.14,0.09,Humid
13-01-2021,Bengaluru,Karnataka,20.66,27.56,16.48,77.67,3.26,91.83,16.71,0.12,Normal
14-01-2021,Bengaluru,Karnataka,20.41,26.53,15.51,79.63,2.84,91.79,12.86,0.22,Normal
15-01-2021,Bengaluru,Karnataka,21.23,28.22,16.79,76.72,2.7,91.76,16.22,0.04,Normal
16-01-2021,Bengaluru,Karnataka,21.45,29.03,16.55,72.58,2.43,91.69,17.12,0,Normal
17-01-2021,Bengaluru,Karnataka,21.12,29.58,15.34,74.65,2.43,91.75,18.72,0,Normal
18-01-2021,Bengaluru,Karnataka,20.16,28.49,14.09,73.55,2.73,91.86,21.94,0,Normal
19-01-2021,Bengaluru,Karnataka,20.17,28.03,14.73,74.28,2.29,91.85,20.93,0,Normal
20-01-2021,Bengaluru,Karnataka,20.87,29.44,14.01,71.24,1.31,91.88,20.38,0,Normal
21-01-2021,Bengaluru,Karnataka,22.27,30.23,15.83,71.25,0.9,91.84,20.52,0,Normal
22-01-2021,Bengaluru,Karnataka,22.55,29.94,17.5,72.91,1.82,91.8,17.69,0,Normal
23-01-2021,Bengaluru,Karnataka,21.83,29.4,16.68,71.33,1.86,91.85,19.36,0,Normal
24-01-2021,Bengaluru,Karnataka,21.05,29.59,15.39,69.06,1.78,91.9,21.08,0,Normal
25-01-2021,Bengaluru,Karnataka,19.72,29.13,13.23,66.74,2.12,91.96,22.33,0,Normal
26-01-2021,Bengaluru,Karnataka,19.64,29.59,12.07,61.53,2.08,91.9,23.13,0,Normal
27-01-2021,Bengaluru,Karnataka,19.19,28.69,10.67,65.51,2.33,91.92,22.33,0,Normal
28-01-2021,Bengaluru,Karnataka,20.04,28.46,13.8,68.92,2.88,91.94,21.82,0,Normal
29-01-2021,Bengaluru,Karnataka,21.06,29.41,14.2,69.02,2.61,91.99,20.17,0,Normal
30-01-2021,Bengaluru,Karnataka,21.74,30.05,14.14,67.06,1.97,91.91,19.52,0,Normal
31-01-2021,Bengaluru,Karnataka,21.63,30.17,15.88,62.62,2.85,91.96,21.85,0,Normal
01-02-2021,Bengaluru,Karnataka,20.36,29.46,12.57,60.89,2.99,92.09,22.93,0,Normal
02-02-2021,Bengaluru,Karnataka,20.87,29.38,14.53,66.47,3.1,92.1,22.4,0,Normal
03-02-2021,Bengaluru,Karnataka,21.49,29.34,15.56,68.2,2.86,92.03,19.63,0,Normal
04-02-2021,Bengaluru,Karnataka,21.07,29.62,14.66,63.85,2.41,92.02,22.29,0,Normal
05-02-2021,Bengaluru,Karnataka,20.61,30.24,13.28,63.04,2.06,91.93,22.58,0,Normal
06-02-2021,Bengaluru,Karnataka,20.6,30.43,13.4,60.9,2.66,91.86,23.14,0,Normal
07-02-2021,Bengaluru,Karnataka,20.16,29.83,12.33,50.85,3.05,91.91,24.17,0,Normal
08-02-2021,Bengaluru,Karnataka,19.81,29.62,11.48,58.62,2.97,91.97,24.24,0,Normal
09-02-2021,Bengaluru,Karnataka,19.69,29.23,12.71,61.61,3.03,91.93,23.6,0,Normal
10-02-2021,Bengaluru,Karnataka,19.5,30.38,10,55.57,2.25,91.85,24.8,0,Normal
11-02-2021,Bengaluru,Karnataka,20.07,30.53,12.24,58.48,2.42,91.79,24.45,0,Normal
12-02-2021,Bengaluru,Karnataka,20.3,30.86,12.48,57.87,2.47,91.85,24.84,0,Normal
13-02-2021,Bengaluru,Karnataka,20.54,30.93,13.25,57.24,2.26,91.93,24.49,0,Normal
14-02-2021,Bengaluru,Karnataka,20.8,31.08,12.75,55.54,1.6,91.94,24.44,0,Normal
15-02-2021,Bengaluru,Karnataka,21.85,31.57,13.35,55.69,1.41,91.84,23.45,0,Normal
16-02-2021,Bengaluru,Karnataka,22.52,31.56,13.59,57.46,1.92,91.81,20.88,0,Normal
17-02-2021,Bengaluru,Karnataka,22.71,31.52,15.65,56.9,2.75,91.77,19.31,0,Normal
