City,Total_Days,Rainy_Days,Heavy_Rain_Days,Total_Rainfall_mm,Avg_Daily_Rainfall_mm,Rainy_Day_Percentage,Heavy_Rain_Day_Percentage
Bengaluru,1826,461,44,5222.33,2.859983570646221,25.246440306681272,2.4096385542168677
Chennai,1826,620,80,7671.82,4.201434830230011,33.9539978094195,4.381161007667032
Delhi,1826,334,57,4509.96,2.469857612267251,18.29134720700986,3.12157721796276
Guwahati,1826,716,135,9849.75,5.394167579408543,39.211391018619935,7.3932092004381165
Hyderabad,1826,427,61,5126.63,2.8075739320920046,23.384446878422782,3.3406352683461114
Jaipur,1826,336,57,4440.75,2.4319550930996714,18.400876232201533,3.12157721796276
Kochi,1826,1028,196,14174.44,7.762562979189486,56.29791894852135,10.733844468784227
Kolkata,1826,675,102,8796.98,4.81762322015334,36.96604600219058,5.585980284775466
Mumbai,1826,632,232,15250.31,8.351757940854327,34.61117196056955,12.705366922234393
Srinagar,1826,431,64,5210.48,2.853493975903614,23.603504928806135,3.5049288061336252
