City,State,Avg_Temperature,Max_Temperature,Min_Temperature,Avg_Humidity,Avg_Wind_Speed,Avg_Precipitation,Total_Precipitation,Avg_Solar_Radiation
Chennai,Tamil Nadu,27.878083242059144,41.13,18.62,75.22025191675793,2.949720700985761,4.201434830230011,7671.82,18.095843373493977
Kochi,Assam,27.64273274917853,37.22,20.52,79.32266155531215,2.235104052573932,7.762562979189486,14174.44,18.744063526834612
Mumbai,Assam,26.833740416210297,44.11,9.49,69.58817634173056,2.521325301204819,8.351757940854327,15250.31,18.208877327491788
Kolkata,West Bengal,26.05906900328587,46.92,6.2,74.91358707557502,2.1474917853231106,4.81762322015334,8796.98,15.54435377875137
Hyderabad,Telangana,25.72707557502738,43.88,8.32,65.61276560788609,2.460865279299014,2.8075739320920046,5126.63,18.002037239868567
Jaipur,Rajasthan,25.073094194961666,47.84,1.48,50.96202081051479,2.0951642935377874,2.4319550930996714,4440.75,18.22447426067908
Delhi,Delhi,25.05773822562979,48.5,0.45,53.25557502738225,1.8709912376779845,2.469857612267251,4509.96,16.760071193866374
Bengaluru,Karnataka,23.766785323110625,40.78,9.22,70.78269441401972,2.77645125958379,2.859983570646221,5222.33,18.735640744797372
Guwahati,Assam,23.108696604600222,39.0,5.86,77.31861993428258,0.5408105147864184,5.394167579408543,9849.75,15.593493975903614
Srinagar,Jammu and Kashmir,9.403910186199344,29.97,-17.58,60.850125958378975,1.45078860898138,2.853493975903614,5210.48,16.907957283680176
