Month,Month_Name,Avg_Temperature,Avg_Max_Temperature,Avg_Min_Temperature,Avg_Humidity,Avg_Precipitation,Total_Precipitation,Avg_Wind_Speed
1,Jan,17.46923870967742,24.230670967741936,12.21949677419355,66.02974193548387,0.9390258064516129,1455.49,1.7240967741935482
2,Feb,20.152751773049648,27.780099290780143,13.919198581560284,55.67487943262412,0.6191063829787234,872.94,1.806113475177305
3,Mar,24.49631612903226,31.999200000000002,18.105290322580647,50.56729032258065,1.1766193548387096,1823.76,1.9761354838709675
4,Apr,27.89912,34.864779999999996,21.773339999999997,50.353773333333336,1.9258533333333334,2888.78,2.134313333333333
5,May,28.63983870967742,34.200845161290324,23.762703225806455,59.873387096774195,5.26018064516129,8153.28,2.4054258064516127
6,Jun,28.269146666666668,32.836326666666665,24.306193333333333,68.20262,7.15888,10738.32,2.7485333333333335
7,Jul,26.971103225806452,30.77896129032258,23.865509677419354,79.52349032258064,11.166806451612903,17308.55,2.871025806451613
8,Aug,26.172909677419355,29.86721935483871,23.187929032258065,82.65300645161291,8.212741935483871,12729.75,2.3649870967741937
9,Sep,25.661679999999997,29.540033333333334,22.546213333333334,82.36602666666666,7.352466666666667,11028.7,2.0782866666666666
10,Oct,23.80551612903226,28.544664516129036,20.027987096774194,76.90514838709677,4.522877419354839,7010.46,1.6214387096774194
11,Nov,20.6916,26.29736,16.34422,71.81696666666666,2.7010466666666666,4051.57,1.7277333333333333
12,Dec,18.28268387096774,24.51274193548387,13.571451612903227,68.38373548387096,1.4140967741935484,2191.85,1.7820709677419355
